tradedate,newstitle,sentimentscore,sentimentreason,closeprice,newslink
2025-12-19,Nintendo Switch 2「チルっと焚き火ソン」初セール！まったくあたらしい焚き火のゲームが、10%OFFで入手可能なチャンス - PR TIMES,0.0,分析なし,10650.0,https://news.google.com/rss/articles/CBMiakFVX3lxTE5XY3pSRzJWdl9YRkluR3RJOTFDblNfZnk0WWdtSkxGdkhLNWJ6OW1CUDRPR254aVRWZWxhR2RoN3Y5U0xtLVpVcElSYTRkSWRQN0RLRVdpclFlTGozd0pwQm9kTWNKUkxqbVE?oc=5
2025-12-19,ニンテンドーeショップ新作ソフト情報 12/19（金）号。 - nintendo.com,0.0,分析なし,10650.0,https://news.google.com/rss/articles/CBMihgFBVV95cUxPZ1p4WXZ6S1gtM1B6LTBmbXhhYnFIN0hmLV9HLXdWdVBpaWU1cEZtN2NHenlZXzFpS1RmbFF3ZkwzWk1QY1pVUDE0VXQtRkxVZHJBTzVoWWtodmtMZjA4TzlrVFFwNndwMnc0ZVprX0hnMkVQd3VwcWg4QVNCcTlla0ZFekV4QQ?oc=5
2025-12-19,オインクゲームズ、Nintendo Switch 2『チルっと焚き火ソン』のセールを実施 1⽉5⽇まで10%OFFで入手可能なチャンス！ - gamebiz【ゲームビズ】,0.0,分析なし,10650.0,https://news.google.com/rss/articles/CBMiREFVX3lxTFB5SEtkXzJGVF9IT0k3LVBja1VjcDVSTkgydUVzcDd4c0hGT1dNRWRYcm5PcUV1MHY2ejJRT3lYTFpXVzd4?oc=5
2025-12-19,インディーゲームレーベル「IndieTech Games」第３弾タイトル【Pilo and the Holobook～ピロと不思議な百科事典～】 Nintendo Switchパッケージ版をアジア地域で発売！ 本日より予約受付を開始 - newscast.jp,0.8,ポジティブキーワード検出,10650.0,https://news.google.com/rss/articles/CBMiR0FVX3lxTE9ObFY0RnBkMXRfRWhCMFFYZDl2MnotUkl0RzIwRnBKRTJGdFBNNURaaXI1bnVjWWs1cUtXam5mWlM1SldNcmVN?oc=5
2025-12-19,アクションゲーム『刀剣乱舞無双』冬セール開催中！ダウンロード版(Nintendo Switch™/PC DMM GAME PLAYER/PC Steam®)が期間限定で50%OFF！！ - PR TIMES,0.0,分析なし,10650.0,https://news.google.com/rss/articles/CBMiakFVX3lxTE8weXdjLXdvVGJOLTZFY0lDckVNZVBSQjNsZjllM3oxQTNfclBjRnoyR2R2bmtjVjhwX2NSU2RDVDhReV81ZXJYQlp2NmIxanVKQVAwSENMSzQ5aUlTcG5OX2YtakNlV010Unc?oc=5
2025-12-19,よしなまプロデュースの『マモンキング』がSteam®国内売上ランキング1位、Nintendo Switch™ダウンロードソフトランキング2位を獲得！ - UUUM株式会社,0.0,分析なし,10650.0,https://news.google.com/rss/articles/CBMiSkFVX3lxTE81MV9SVTZkdm05SG5UNFpBSks0MTlBdFN6blJUWXE2Z0RJTDNCSnFXdmNWT2M2alZKYUxRQkFYVTFfYmJnRjdrYXVn?oc=5
2025-12-19,よしなまプロデュースの『マモンキング』がSteam®国内売上ランキング1位、Nintendo Switch™ダウンロードソフトランキング2位を獲得！ | UUUM株式会社のプレスリリース - PR TIMES,0.0,分析なし,10650.0,https://news.google.com/rss/articles/CBMiakFVX3lxTFAtZXlBc0RsbWswTFc3LTZBOWZXc3B4aU84VmxhNWF5cDhIX2c3aHZXcEttdHdQTEFuakJidWstdVI5eUozRnZRVFQxMXFOcGJDSU5vZmh0Um11T3JzcUtOOVFPYWIyci14aGc?oc=5
2025-12-19,『あつまれ どうぶつの森』2大特別付録がついた『電撃Nintendo 2026年2月号』は、『カービィのエアライダー』、『ゼルダ無双 封印戦記』大特集。ボリューム感たっぷりで本日12月19日発売！ - PR TIMES,0.8,ポジティブキーワード検出,10650.0,https://news.google.com/rss/articles/CBMiakFVX3lxTFBGOU1vYmJSNUY2b2RnWWlONDZxZ3ZrMGZqRFpmanVNU2FQWm9BaGpvZGkxRENmLXVlb2g3cG5fYU5PNFRINE9TMTVsajRmb1hDdWtPbDV6VUZqN2Qya2xnZVNvSFZBdTZIQWc?oc=5
2025-12-19,Nintendo Switch/Switch 2向けセールに今日も大量追加、約440本。『ドラクエI＆II』リメイクや『牧場物語 Let's！風のグランドバザール』など初セール作品もいろいろ - AUTOMATON,0.0,分析なし,10650.0,https://news.google.com/rss/articles/CBMiggFBVV95cUxPandIR2dTQkYxX0VwenB5a1hFQUFCMllQbGtfYlZxMHZmdHRrdzYxU2tlQ29oQ0pxLUpyMFhPcF9GNmRkeUNONjBmUURiR2ZQUkgwUk9tU2IzUmNMMjdjRGVObHU0SkwtRUQ5M0VkWFRuWlh4R0RndnhDY0hPRmxNbm9R?oc=5
2025-12-19,『カルドアンシェル』Nintendo Switch2版はどこが進化した？ 不憫なおじさんや魔改造少女、惑星開拓モノといった架空ゲームたちも深掘り紹介 - 電撃オンライン,0.0,分析なし,10650.0,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5aUU5tYkhZcmR5MHAyQldyYXBwQjhhTmxsVTUtbjYycV9hR1dNZnFmY29DM0NkdGxXQzZmR2Y5Z3VKYlJpSHBrcU1EcEVLcVRoU2tjVGd3aG1qdw?oc=5
