tradedate,newstitle,closeprice,newslink,published_jst,newsdesc
2025-11-05,４日のＰＴＳ注目ポイント＝日精工、任天堂、ＪＲ西日本など 速報 - kabushiki.jp,13750.0,https://news.google.com/rss/articles/CBMiR0FVX3lxTE5YWXNpM1E5dm9HTjRock0wQ3lCbjl1dWpsWWpsOEdZWGhyaTNjRXpsOG9HNFNOdHlDdDhRYnlORDhMa2tfMjNF?oc=5,2025-11-04 16:28:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-05,任天堂、「スイッチ2」販売を上方修正 今期1900万台 売上高は初の2兆円 利益の果実、ソフト課題 - 日本経済新聞,13750.0,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPZi1JLUdkREhMbGhhT21HS0Rhd2FFM1NjclkzYVJfSzZ0YWFhNjQ1YjhQMHh3YzlsVkl2a3V5MWppY2plZzg2dG5qQlFxczc4STVyZjVXWlRsVEVlWFRONm9IemphOERQX0xBWWRlOEh2YmFYU3ViS1Q1U25uZklTUDhJWHdURHhNbTM4dGluVW9lTHNlcDNhSi1WSWFHSkEyZlF1d1Z0eVk?oc=5,2025-11-05 02:10:54+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-05,任天堂、26/3上方修正 営業利益3700億円←3200億円 - ダイヤモンド・オンライン,13750.0,https://news.google.com/rss/articles/CBMiU0FVX3lxTE84UmZXM2hJMWlFM0tuOFEzZXFLaXhydVZSU0dFVmVieGZKSW15ajVTbWo4ZUFLamd6cUtMb0pfLTBieERpZU1XUkdFMTVtQ3lBZHZF?oc=5,2025-11-05 05:56:01+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-05,DeNAが旧村上ファンドの標的に、任天堂株の売却が本丸か？【ゲーム企業の決算を読む】 - GameBusiness.jp,13750.0,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9SNFc2VExmUGxnazBGcjMzbGJCeXlHZGI5eDg4R0NDSkt4ZGRsSzdXLU55NTVKT1lUcWlaRkRJNXdFcjBMcjRJS29IXzJOQjNudjVRd1ZvYmZjNEUtV25zYk53amVyQTJz?oc=5,2025-11-05 08:00:04+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-05,【おはようgamebiz(11/5)】任天堂決算、コナミG決算レポ、マーベラスAM事業と映像音楽が好調、『地獄楽 パラダイスバトル』リリース - gamebiz【ゲームビズ】,13750.0,https://news.google.com/rss/articles/CBMiREFVX3lxTE13cWxEYTRQZjdCN0pUYTBlRkt5TG9UUTQ2VHFvaElwRnFYc2pqYkZRMHZRMHdKSzM5c3pxVE5VZ0VUNnll?oc=5,2025-11-05 08:30:00+0900,
2025-11-05,【特報】 寄前【成行注文】買い越しランキング 任天堂、ＴＯＡ、ホリイフード [08:36] - かぶたん,13750.0,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9IZXFELU5QREI0SXRmN0JZTEx5MkFsV1hSYnU5OGw1ZGZ6cmRuRWd1Ym5CODJNdEs0WTkwVzQ0dm16STNVU0tVMkVaSzYwLUw0NlQxeWhITnUwdGcxMTUzNA?oc=5,2025-11-05 08:36:44+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-05,【材料】 ＜特別気配＞ 任天堂、日経Ｄインバ、ファストリが買い気配 - かぶたん,13750.0,https://news.google.com/rss/articles/CBMiYEFVX3lxTE02cVlROWJZYWhzazFGcjhRWXVCM3podkpFLW5kVDdZU0JmNGVsY0tycUszSDZQcVNvdl9hdENrTHRKS1N5c2pQTjRWVmtlTEZYWDhKbVZuZlhIbktCSmJvTg?oc=5,2025-11-05 09:03:44+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-05,【株式】任天堂が大幅反発…一気に1万4000円台を回復 Switch 2の販売好調による2Q好決算と通期業績予想の増額で - gamebiz【ゲームビズ】,13750.0,https://news.google.com/rss/articles/CBMiREFVX3lxTE1sRWpuQnctRFFXU1hKbUpDRVlnZ0tfdmE2MmFvcDVsdmVvTmpVaDZLT2dLbG43NlRUcHVIYXMzZVdWLVRv?oc=5,2025-11-05 09:13:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-05,任天堂、26/3上方修正 営業利益3700億円←3200億円---決算チェック(フィスコ) - Yahoo!ファイナンス,13750.0,https://news.google.com/rss/articles/CBMihwFBVV95cUxPYU1UdnpJQlllSzJTaThWZnJRUy12clF4bVFaOHVHZW5raDZvRXFKQUF0SEhGNlF0eTRMZXJ1Ti1zMVl2Um5vaHRCSmhOU24tdS1FMjVSdWNKekVmWWttS2x6bjl4Q216UTRWM1dmTjIxYTM0X2hoQXp5RnltZlVCNW00TGl4STQ?oc=5,2025-11-05 09:18:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-05,任天堂が急反発、「スイッチ２」販売計画引き上げ通期業績予想を上方修正(みんかぶ) - Yahoo!ファイナンス,13750.0,https://news.google.com/rss/articles/CBMihwFBVV95cUxNTjBFVFI1dWdTWXhTZ2ZnLUVmV05TWk9FazBLM1BSY3dsRWNQSUVRa3NhZ29CVEZnd3cxQ0Qyb25fZTVYM09qRzl0eHN3NlBrMzA4WkNKam8xWFozQzFOaWw1MlZsMnA4TGhMSHhnYVVqZ01zaXJzYkNPOVVsT2hhX3ItR191dEU?oc=5,2025-11-05 09:26:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
