tradedate,newstitle,newslink,source,closeprice,sentimentscore,sentimentmagnitude,sentimentlabel,impact,category,mat_reason
2025-10-10,NPBエンタープライズ、KONAMI、ソニーによる日本野球機構（NPB）公認のプロ野球速報アプリ『NPB+（プラス）』共同事業について | 株式会社コナミデジタルエンタテインメント - KONAMI GROUP CORPORATION,https://news.google.com/rss/articles/CBMickFVX3lxTE9GWXc3aUh6bE5BbTNMYWV3SEFUQnlZMzltV3o4ZVYtU3NPRFV3Z3ZvUl95akRWODFXR19qekxqTUtJYXFrN0VBbTVzVkFUaWpnTnBLNGJmQUMyUy13YTNQRDQyQWcxV3pyd1ZFZ2RTeFJHQQ?oc=5,,4461.0,0.0,0.5,neutral,,unknown,
2025-10-10,【重要】一部ソニー製品のサポート終了について - U-NEXTヘルプセンター,https://news.google.com/rss/articles/CBMiXEFVX3lxTE9SeF9PUGV3VF9ZekFEcnF1RFZiUjBXYW1sSDViUmN6dmU1NFZEVjRFV0R0MkhlNExhVmxjR2l3SGNyb3NSRWNva0hlOVFUc2hhSlN6bmswRmttOVJy?oc=5,,4461.0,0.0,0.5,neutral,,unknown,
2025-10-10,ソニーグループ(東証:6758)の自社株買いとリーダーシップは新たな長期戦略を示すか？ - simplywall.st,https://news.google.com/rss/articles/CBMiowFBVV95cUxOS3J3Z09ITy1SM1ZsWHNCUnE2ekZTY3RmbHJoVUxVb0o0c2l3V1BuWTRsQ19mVG9CTldLOWM4OXJQUncyZUFjS1pjcmZtbW41QjVSU095Sk1Ec1gzRmZoZlpfZThPN2h6RW1UX2NZbERhdEppV2NiZXJzc0xwd0ZTNWQyYmRvUk04Z2Yxa0tRbUcxbG1BTFFhVEpNREpjN25JaFhV0gGoAUFVX3lxTE9vajJVZXJ4dXB3REZQYjZKMVZlWUpJandEMFRQRkFoSWxOOWJFNWtlN2piWVF2NFpxb0xvUEVhdmRkUFJEWmRKVzh3MnFhcVZZY0UyWDZPZVd1bzlGTWtxREdrRTR0TmpINnAwSi1yalV1Z1QyWHlqSDItaFZlWkJqRUxtbUhNeHRjRXVoelIyTXNsdG1kRlZsZE0tOFJCUjJEdVRiT3Y2cA?oc=5,,4461.0,0.78125,0.4,positive,0.4,other,"The text discusses a potential share buyback and leadership changes at Sony, which are corporate actions that could influence investor sentiment and stock price. However, the impact is moderate as it's framed as a question rather than confirmed news."
2025-10-14,ソニー、楽天、Google…なぜ「学歴不問」企業にも関わらず高学歴学生ばかりが採用されるのか 大手人材企業勤務男性「Fラン大卒は…」 - みんかぶ（マガジン）,https://news.google.com/rss/articles/CBMiU0FVX3lxTE5XZWZMazBCWm1ma1hDZFIyUnlDbWJvcTYxUUVVZmdQWjNMWlp6NnN4dGwycU9fd3NLeEFpVnk1cW1ucktMQnBtSXhkcjNTWnJobElz?oc=5,,4310.0,-0.46875,0.4,negative,0.2,other,"The article discusses Sony's hiring practices and the tendency to hire high-achieving students despite claims of being 'no academic background required'. This could have a slight impact on stock if investors become concerned about diversity or perceived unfairness in hiring practices, but is unlikely to be material in isolation."
2025-10-15,ソニーグループが｢隠れた防衛関連企業｣といわれる理由､実は同社製のある汎用品がミサイルやドローンなどに欠かせないパーツになっていた - 東洋経済オンライン,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBQYjc4QUd0dm4wbTVXbXFteW1oQUgwUWRwNFV6cmZmYVVkNVQtcXZoME51d2hCdm5zWUxDSUY0Q1NRZDRXWHhIWXNyaTZpRzR4d3c?oc=5,,4342.0,0.3125,0.3,positive,0.3,other,"The article discusses Sony's components being used in defense applications, which could be seen as a positive or negative depending on investor sentiment. The impact is moderate as it's not core to Sony's business but highlights a potential growth area or ethical consideration."
2025-10-15,ソニーG、「らしさ」で働きがい高める 盛田時代から続く成長機会の提供 - 日経ビジネス電子版,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE01aVA3dzNfb19MLThlUGJEQWs0MFhoQ3NBVDBjSDhJOXZmeHJoMVlHdGllT1d2ZzVzODlzaFZ3OWpUbEtiZ1JSamJpdndycDhwVmhranZELS1FYWxCVm9JNm9aN0NKNU0?oc=5,,4342.0,1.0,0.6,positive,0.2,other,"The article discusses Sony Group's efforts to improve employee engagement and growth opportunities, referencing its historical approach since the Morita era. While it touches on company culture, its direct impact on stock price is likely limited."
2025-10-15,インハウスデザイナーの夢とロマンを紹介する「Industrial Romanticism」展にソニーのデザイン部門が出展 - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE9waHZMWlRhZ3Q5d0JobVhndkFha2RWc0dBQ29aLWhKMnFvY0RCQXJ3T294M1JGc0FBLUpzYzFaX1BsbzdoeTF1UFg0RUd1M1R6SFlXc09LSlJUVVNZaThXYklzMUR6WG5WaGc?oc=5,,4342.0,0.0,0.5,neutral,,unknown,
2025-10-16,挑戦の数だけキャリアは作れる。タクシーアプリ「S.RIDE」の生みの親が語る、ソニーという可能性。 - Sony,https://news.google.com/rss/articles/CBMid0FVX3lxTFBiT2twT1REajFSbWJQdnFPX0s5NHl6VGtCS0pwaWUyeHp6TXhQLW5leGVlSmI2RDh3WV9YZ3FMRkRJcFJJVUFYbjNSN09LSXY1SU1VWlgyenNHWVBwaDdJRVo1TkM2bkJ5OURLUDZ4UVAyanNvcTBn?oc=5,,4321.0,0.0,0.5,neutral,,unknown,
2025-10-16,ソニーは異例のコンセプトでCEATECに出展、社内外のスタートアップを支援、イノベーション促進へ【CEATEC 2025】 - INTERNET Watch,https://news.google.com/rss/articles/CBMibEFVX3lxTE9DTmtPV01pQ0FPbGJCOWRnY0R1NE8xazRTc0xIa3dGM3NSbWpsWWNISEtpSHIxRjJXOUFGNEI5UmF3OVo5VEV0ZWNZcWJSRE9kNUFwa0xUWHM4Mm8yZ29qQ0VJTE5NRmRST1d5bw?oc=5,,4321.0,1.0,0.6,positive,0.3,other,"The article discusses Sony's participation in CEATEC and its support for startups, which indicates a focus on innovation. This might have a slightly positive impact on the stock price as it signals potential future growth, but the impact is likely limited as it is more about a general strategy than concrete product releases or financial results."
2025-10-16,サステナビリティ×クリエイティブの未来を探る『SIGNALS Creative Research No.02 2026』をソニーのデザイン部門が出版 - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE8wTE94bGFxZXkyTVRhU3ZxWXpQVjVhd1p4YXlBY0FQSjZwbGdjMWN6ZkhqcGlZVG81UTAtZXRWS1ViWjVKUm02U2M2bFV6cWhzTThsYmFCM3RYajhMR0d3a1RkQU9QSVlOYkE?oc=5,,4321.0,0.0,0.5,neutral,,unknown,
2025-10-16,ソニー銀行、米国で銀行関連免許申請 ステーブルコイン発行へ - 日本経済新聞,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOUlpmdXM4WUFGQUNuVHFiZVhOMXlmVzZ2SnJxZjN4d01WTWVzUFRVSmtSeS1nWFpPcVIxQWh1c0xpbFhpMG5pd19NOFBWZDAwODJkLW5FRE5lWFZtcy1waEpBRjk2Z19NUnVZeTBYV3QxN2t0Z2RsTklsOVVQZ3NzdHpZSExtNGdJaHF4WXVONXI5czR0dlQzYTBtaHN1aERLZVp3azQtVXk?oc=5,,4321.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-17,"""ソニー損保な三姉妹""があなたの自動車保険デビューを応援！日向坂46の小坂菜緒さん・正源司陽子さん・藤嶌果歩さんを起用した新CMを放映開始 | 2025年度 | トピックス - ソニー損保",https://news.google.com/rss/articles/CBMibEFVX3lxTE9wZWtWQ2hSa1JRa29RaTlFOTlidERSMC0wT2FUdVlVVFhDWjFXTHJVN015dVFaZHVsSV9sb2NxVGxIdTMydzR1RGJ1RjNtd0ZCTDQ1bE41aTBZeF9LMHVSWWU4V0FHaWZ2M3h5dg?oc=5,,4300.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-17,【アナリスト予想】ソニーＧ、26年3月期経常予想。対前週0.4%上昇。(アイフィス株予報) - Yahoo!ファイナンス,https://news.google.com/rss/articles/CBMihwFBVV95cUxPWG5CWWFxV0t6dU9MM1Zwblg0cWtoRTRUWWlTcWgzdG5RX1A3d0ZVcjQ3MFQ5TG1KWFlrLUxuSlYtVHBBNjA0MEQ1Zmk4X25sVmNVOVgxcmV3OUUyNHBLUDlhcVlhN2lERHNOT1EzemQ5eGNVemh3ZU9RUFRUQ3laX0pWRnoxRmc?oc=5,,4300.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-17,製造業の研究開発費比率が4年ぶり上昇 武田16%、ソニーGは6% - 日本経済新聞,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPeVdGSkNFelBRQk5vSm5YZlNvWGlBaU95WEl4M0trb2dCd1NRcUJHZFVYUHphWnRFWjZkcDloQnhVQm45QThfbU05TWFMUmI5RlpOUXk2SUpLN2hQQ3ZQemRGdmV0Q3h4OU8wUHdzd1BBRG16RjRzdy04bG5uSzNrRm1IdWZkY0VucmFWOGJPMFhzZkZYM0twN1g3MjRQZ09ncXZzSFdSV0Y?oc=5,,4300.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-17,日本株ADR16日、売り優勢 ソニーGやオリックスが安い - 日本経済新聞,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQU3BkU2k3bF9DMFJtVjNGV3hOYmZMWjl5bmxvRVFBN0xCN0JsRGF4eVRaUXlFX3dtR1Vlb2V2ci1jZTdORU9neE51ZnkxeFUyREdiam9GS3lWdndyVDltN2J4cmljZ1N2cW5iSHBDMU1wTm14QjBDOWRWM1RCeEQ3UFp4bVVnQUxqc3lPb0lfVExuRGFpcHJvbTJPMXBxeUNOaWs0WjZnSnY?oc=5,,4300.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-17,"【アナリスト評価】ソニーＧ、レーティング中立を据置き、目標株価4,700円に引上げ（日系大手証券）(アイフィス株予報) - Yahoo!ファイナンス",https://news.google.com/rss/articles/CBMihwFBVV95cUxOOE9fUmNyN3NsRnNwLXpQemloTjloSUVrR2ZwaUE4TWJ4bmZOR0lld0Nnb0tIbVdycndWcG5YYUhMR2x2Z3BPTkczLWRtNWdXZ3VCWjN2WkJRTDRyUDZwakR0OVpERzA3dElXWlZUS0lOelVDVTl6SS0tLTlhRWlxRWxnWWRrakU?oc=5,,4300.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-17,〈新連載〉ソニー｢PS｣を生んだ任天堂の翻意と社長の一言。久夛良木があおり､大賀が吠えた | 新約ソニー - 東洋経済オンライン,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBmLWVlUDh1a2FXUnFXUjc0MDFiY09kSWhMZ1lja1loZGVjZXZqTWdQWlhtRFUxLWJoaGZ6V3ZPSlBLZ2dnQUJFZEpxektwWXY5MXc?oc=5,,4300.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-17,ソニー新社長決定で…「ソニーグループ」CEOはいったい誰に？ 有力候補3人の名前（デイリー新潮） - Yahoo!ニュース,https://news.google.com/rss/articles/CBMif0FVX3lxTE9FbDk1cWNQSUc4a2N0Mi1neW9adjZ5ZTdmZjBNa0N4LU9OeWhud05Yd3NsV0hlMG9odVIzNnowQmZtRTRvVS1mWV8xQkszZVpad0JQbHUzNnplVG9iZkFGdTlEa0REWFZ0bGNYSjFGb2UwdjktYTM1ejVXMktJaTg?oc=5,,4300.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-17,ソニーフィナンシャルグループ株の節税効果、売って得するケース、損するケース - トウシル,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5obUpFeE5BR1otcTlSYWxvaVJTOFVNWEhjQlJGcTQ5Q2s1Yy1qYjA4cnRhRXltalhfajJURFZ3MGxDMkRwTjlwbEhmd3ZTOGFQS2hOZkl5X3R1dw?oc=5,,4300.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-17,ソニー新社長決定で…「ソニーグループ」CEOはいったい誰に？ 有力候補3人の名前 - デイリー新潮,https://news.google.com/rss/articles/CBMiX0FVX3lxTE4zUnRGeHVhQlVjUUg5Y19WTTdrVE1UMEgyT3FGdGhoMnBkVWxTUG1IMl85V3VVMkVHc2F6VHpuSzN6WlBTc0RBeTdWLXpIcTRyUHd1VEZPdHpaaWRhWU84?oc=5,,4300.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-20,ソニーG－野村が目標株価引き上げ 映画「鬼滅の刃」上振れ効果を試算〔DZH 個別株情報〕(時事通信) - Yahoo!ファイナンス,https://news.google.com/rss/articles/CBMihwFBVV95cUxPcVJJNkJJdmU1bVJ2YnpnX0dhTTN2Tm9mUm5xREEzR0piZjVSdTJFdXRndGJfcTRJNlA5VnVyVHdiTUNrbWc5R0szZWp4RVlaMklzSWl3cU1yY0ZQdmJRdExTbUFuVnhvT3pQd0gtUWs2cHhTQzhtNUM3NjFybGdWSG1Id25yQlU?oc=5,,4420.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-20,【株式】ソニーグループが3日ぶりに反発 野村証券は目標株価を4500円から4700円に引き上げ - gamebiz【ゲームビズ】,https://news.google.com/rss/articles/CBMiREFVX3lxTE50aXFGV0JfekVIYjZNUUNGSGtDcC01dmIxS2dELTJ5cXlUY0VQdFRuV1BodnZuVFhpMU15RzNHdDlvNC1R?oc=5,,4420.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-20,ソニー・ホンダモビリティ、米国カリフォルニア州で開催された「Palm Tree Music Festival」にAFEELA 1を展示 - AFEELA,https://news.google.com/rss/articles/CBMiWkFVX3lxTE11akdZaHhyY19UTUp6S01TTFEwdDktbUZzMnM0WldFa1l0NmJnYVhHWUdMSXlheV94OEpLSVRxUnlTM1IydjlBWm1OdGsxOVRJTGtOQlRSbUJhZw?oc=5,,4420.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-20,ホンダとソニーの革新的な融合──新型アフィーラ・ワン詳報 - GQ Japan,https://news.google.com/rss/articles/CBMiaEFVX3lxTE01X090SmtjQWVKY1gzTklUNExLZlhYYmlkN0N4cHB2UTgzMDlzTFdEVVFwX1ZYR2NvSnNneUx2cTliUXMxTHNIdW9WM0J2RHhjTzFlXzVrYUNHTmkycFZJZ1V5UWh2YWRR?oc=5,,4420.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-20,【株式】ソニーグループが3日ぶりに反発 野村証券は目標株価を4500円から4700円に引き上げ(gamebiz) - Yahoo!ファイナンス,https://news.google.com/rss/articles/CBMihwFBVV95cUxOWW1pczBOTjFib2tXWWV2VzRudEdEeDI2Q2VuZGQxUmttNS1IeDFEd0ljb0FVMW01d243Mk4yS1RQYTdiMTRvVnZHMmJtS3RXOW9seEdQd2FrV2dQakp2blZNYVBoSGk2eW0wMWtNSk9OUW9uR3V2RlFpUEdNVGR1My1pVk9OeE0?oc=5,,4420.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-20,【ゲームエンタメ株概況(10/20)】「にじさんじ」ソウル公演を発表のANYCOLORが高値更新 国内証券が目標株価を引き上げのソニーグループは3日ぶりに反発 - gamebiz【ゲームビズ】,https://news.google.com/rss/articles/CBMiREFVX3lxTE5Bc3VVM2hhMnRxY0UxQ2NKS3pGQXIxNDJFQW5yS1J2ZU1reW5hdXh1SXRKREo2d0VxSnkxcjhUMmZ2RGdk?oc=5,,4420.0,0.0,0.5,neutral,0.0,unknown,nan
