fp,date,title,summary,source,url,sentimentscore,sentimentmagnitude,sentimentlabel,impact,category,mat_reason,cached_at
397a3d0fcc2617fdcd392e9147603c51c68d18df,2025-09-24,変わる伝説、新たな歴史。『龍が如く 極３ / 龍が如く３外伝 Dark Ties』がNintendo Switch 2 で2026年2月12日に発売決定。ダウンロード版ソフトの予約も本日より開始。 - Nintendo,,,https://news.google.com/rss/articles/CBMihgFBVV95cUxQcVJ5RGJaelRqZk9hdzY5MXJTMDVjT1N0M1RPUTdJSEZCWjMxa1FBZ3JHRG00QTVFZWdxeWZDeWFPYVpJT2tReUdpaEVHUnBBRkNBNHBxUkFWdnFPdXlvUjZuWHo0bVNBaTBvMXBzc09McW1QSjdlaTJxTHJwQy1yWVBfYk83Zw?oc=5,0.6,0.7,positive,0.6,third_party_game,"The text announces the release of a 'Yakuza' (龍が如く) game on the Nintendo Switch 2. While it is a third-party game, the announcement includes the Nintendo Switch 2, making it somewhat significant for Nintendo. A release date is also announced which could drive sales for the game, and positively contribute to revenue for Nintendo if sold through their eShop. If the platform is truly 'Nintendo Switch 2,' that represents a new hardware announcement, making this more impactful.",2025-10-28 20:59:23
d666bc06c7493df3517c8169d219f59e388d9372,2025-09-26,Switch 2販売好調の中、任天堂（東証：7974）のリーダーシップ交代に投資家はどう反応するか - simplywall.st,,,https://news.google.com/rss/articles/CBMikAFBVV95cUxOeGdlWEJQRmRLV0NRWHFIZW5YbVZwSFFYSHFqNF9RcTlDS1lQQThkcmlWemphRHplc0JUWjhwREFrNEpaU3Q1TlAybEVUeTBEakF3RTBkSGk1ZG9nWkUxYndwd3FTcmtwWUJub0tFSmNCay00NVJOMG9idFZQc3FLc1hUY3NnTGRsSWhrLWdWMHPSAZYBQVVfeXFMTnBmdlF4a2U3R1A0UXJ0ZWdFdzNNRW0xeDNlWHlfTWR2eHBNNDY4dTdhajlFRDNaN2MtTEgtUVJtSjdoa1JSeHU3cnhfMzBqM2MzeHBmLUtVZjBSOGhsQ25zRXVaY3ZPcW9fWnpBd0NDNnZ6M3lKQ2dtZ3pITlI4MFhUa0ZOeUhvdVJ3S2FnZ2E4a3VUSFNB?oc=5,0.3,0.6,positive,0.4,other,"The text discusses a potential change in leadership at Nintendo and how investors might react in the context of strong Switch 2 sales (likely speculation, as no Switch 2 is officially announced). While potentially impactful, the lack of concrete details and the speculative nature of the Switch 2 sales temper the likely stock movement. The leadership change aspect is a relevant, potentially market-moving factor if the leader is high-profile.",2025-10-28 20:59:45
975fa1c3cb98b1fe4f859ededcfd3d666fabcb3f,2025-10-01,任天堂ゲーム 10月発売タイトルリスト - Nintendo DREAM WEB,,,https://news.google.com/rss/articles/CBMiWEFVX3lxTE8zd1ZMSmhfUVg2aVBVdGx1MWRFM3NZR0g2eG9GNEdrMjU0bjk4Y05VVVNnOW9IOFdiZHBvUURiZHlLQ09zcUpna0toLVVNRFdNRFhnQWNVQmU?oc=5,0.0,0.5,neutral,,unknown,,2025-10-28 20:59:57
1d68b8e243520e5c77ffa2f303a0990b6609ce5c,2025-10-02,宇宙を駆けるマリオのふたつの冒険。Nintendo Switchソフト『スーパーマリオギャラクシー + スーパーマリオギャラクシー 2』は本日発売。 - Nintendo,,,https://news.google.com/rss/articles/CBMihgFBVV95cUxOQUZEMjZ5SllWbE91cGY4bEU4cGR3YjBBbXhUdC1OYm9sUFV0ZFVpZXp6RllEdW1qcF96dmZVTkN0SWRrOXhmMHIzRng0ZDN1ZVpBU2VpMmFwY1R3UW15ZHBkR1NsZzM1emFzbXFxVWJ0U2pwOG9uSlpzRzlaeDVqYzVhMDl2dw?oc=5,0.0,0.5,neutral,,unknown,,2025-10-28 20:59:58
f9b94beb5fcb5a3f6a4c2a36b226830de46a3485,2025-10-02,任天堂、シンガポールに子会社 - 日本経済新聞,,,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQWUhiSjl6em9HQlo4ZlMxOXFJN2laYWtsUUVUZGtIREJ4U2pxdlBWMEN6MjRxZFNtZ1o5LTBCS29IeXR1VlJxTDFwSkx1ZEw4UXZWRlh4M0VweF9mTE5Db0xJUzk5RHcwcko5SmRSdzhEeVJBTUlqRXBacUpFS3VRYUtEVHdFbEo0WFFobTRQUWtwa0RsQ0U2U2tBbkJ6TXN6QjhpX3JMVEg?oc=5,0.0,0.5,neutral,,unknown,,2025-10-28 21:00:00
e95494a0a249601d7c6a21a57e7f8a8d226aec09,2025-10-02,『Pokémon LEGENDS Z-A（ゼットエー）』の新たな映像を公開。新しく発見されたメガシンカポケモンも改めてご紹介。 - Nintendo,,,https://news.google.com/rss/articles/CBMihgFBVV95cUxQdEJJUjRGTWptYTU2YlI2Z2UyTml0eGtPaWxCUUxyemJzUkdEM1pZclBGWEhhUXBSX08zUWp3TUR4RTNFZmJqMnBaZ19HVDNibW5BMVZDVzAtZkx3cFhRdVVYT0Vqc09VQzl4TzJPOExlTFgzSGJpU09rcDQ1a2F0TzVNRHFfQQ?oc=5,0.0,0.5,neutral,,unknown,,2025-10-28 21:00:01
6a4bfd487a6d9273ac2f93e78a620cf1f0edc32b,2025-10-03,ジャケットの組成誤表記に関するお詫び - Nintendo,,,https://news.google.com/rss/articles/CBMidEFVX3lxTFBmbGlkcThHY3ZzYzUySnBzNWlQR0JzV3B0cnRVa0Izczd6REhjU29pTWxkZG1CRXR4U0VGS3hERXd1LWlBUlN2eHNkeUY4V0UxTDlNU2d5OFlxWkZmZDZqdElYQXlEMnB6S2xaSzNGMGMycDRx?oc=5,-0.3,0.4,negative,,unknown,,2025-10-28 21:00:11
3b1ab1cca2c117f056299d943b9c0af94baf6e03,2025-10-03,OpenAI「Sora 2」、任天堂ゲームや日本のアニメキャラを声まで再現 著作権問題で波乱か #エキスパートトピ - Yahoo!ニュース,,,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOOUZyNDRaSlNYeWh5NHlBeFNPd19MaFBEeF8yRHlQVG5RaGVRRXpxVXN0czdkM0cxSDBBYm9iUjZBLU9yN2NPakNseDFOT0wydzBuUjRiVE95dUdoVmpNRGFyWGdPQWR5bWkzSjd0U1g5VTdoLXl6YXZSZlJ4OU1SN1ljSXNuRUh5?oc=5,0.0,0.5,neutral,,unknown,,2025-10-28 21:00:13
228083104b1e3d78ad0d6f6a511991811e3367c6,2025-10-03,「Nintendo Live 2025 TOKYO」本日10月4日から2日間にわたり東京ビッグサイトにて開催 - GAME Watch,,,https://news.google.com/rss/articles/CBMiZkFVX3lxTE9fQ3NYUVdWdGF0VHBQX0ZaeEdBMHZWQl9kVEVwenU2OXJKbFl2QWNMTGE0UjFiY3RHZUpuVTZPamNwUy03dWg3bnJ3M0h4SjFKblc2RWdSTUF2Ynhqb1ZpcTE0bXVWZw?oc=5,0.0,0.5,neutral,,unknown,,2025-10-28 21:00:14
f81d63ee60e9362259eaad92b5858a052c161ccc,2025-10-03,任天堂、生成AIに関して声明「事実はありません」 - オリコンニュース,,,https://news.google.com/rss/articles/CBMiVkFVX3lxTE9TMTl2U2E0RWI1Mi12Z1kwR2xLcnpmUnhweTdoNnFva05lS1Rid2F6QkNjd0xtSnhQT0dib3N1M0JCSWNOaktzYVFDd1JLV0F6V2RqSUR3?oc=5,0.0,0.5,neutral,,unknown,,2025-10-28 21:00:16
