tradedate,newstitle,newslink,source,closeprice,sentimentscore,sentimentmagnitude,sentimentlabel,impact,category,mat_reason
2025-09-24,変わる伝説、新たな歴史。『龍が如く 極３ / 龍が如く３外伝 Dark Ties』がNintendo Switch 2 で2026年2月12日に発売決定。ダウンロード版ソフトの予約も本日より開始。 - Nintendo,https://news.google.com/rss/articles/CBMihgFBVV95cUxQcVJ5RGJaelRqZk9hdzY5MXJTMDVjT1N0M1RPUTdJSEZCWjMxa1FBZ3JHRG00QTVFZWdxeWZDeWFPYVpJT2tReUdpaEVHUnBBRkNBNHBxUkFWdnFPdXlvUjZuWHo0bVNBaTBvMXBzc09McW1QSjdlaTJxTHJwQy1yWVBfYk83Zw?oc=5,,13100.0,0.75,0.7,positive,0.6,third_party_game,"The text announces the release of a 'Yakuza' (龍が如く) game on the Nintendo Switch 2. While it is a third-party game, the announcement includes the Nintendo Switch 2, making it somewhat significant for Nintendo. A release date is also announced which could drive sales for the game, and positively contribute to revenue for Nintendo if sold through their eShop. If the platform is truly 'Nintendo Switch 2,' that represents a new hardware announcement, making this more impactful."
2025-09-25,変わる伝説、新たな歴史。『龍が如く 極３ / 龍が如く３外伝 Dark Ties』がNintendo Switch 2 で2026年2月12日に発売決定。ダウンロード版ソフトの予約も本日より開始。 - Nintendo,https://news.google.com/rss/articles/CBMihgFBVV95cUxQcVJ5RGJaelRqZk9hdzY5MXJTMDVjT1N0M1RPUTdJSEZCWjMxa1FBZ3JHRG00QTVFZWdxeWZDeWFPYVpJT2tReUdpaEVHUnBBRkNBNHBxUkFWdnFPdXlvUjZuWHo0bVNBaTBvMXBzc09McW1QSjdlaTJxTHJwQy1yWVBfYk83Zw?oc=5,,12835.0,0.75,0.7,positive,0.6,third_party_game,"The text announces the release of a 'Yakuza' (龍が如く) game on the Nintendo Switch 2. While it is a third-party game, the announcement includes the Nintendo Switch 2, making it somewhat significant for Nintendo. A release date is also announced which could drive sales for the game, and positively contribute to revenue for Nintendo if sold through their eShop. If the platform is truly 'Nintendo Switch 2,' that represents a new hardware announcement, making this more impactful."
2025-09-26,Switch 2販売好調の中、任天堂（東証：7974）のリーダーシップ交代に投資家はどう反応するか - simplywall.st,https://news.google.com/rss/articles/CBMikAFBVV95cUxOeGdlWEJQRmRLV0NRWHFIZW5YbVZwSFFYSHFqNF9RcTlDS1lQQThkcmlWemphRHplc0JUWjhwREFrNEpaU3Q1TlAybEVUeTBEakF3RTBkSGk1ZG9nWkUxYndwd3FTcmtwWUJub0tFSmNCay00NVJOMG9idFZQc3FLc1hUY3NnTGRsSWhrLWdWMHPSAZYBQVVfeXFMTnBmdlF4a2U3R1A0UXJ0ZWdFdzNNRW0xeDNlWHlfTWR2eHBNNDY4dTdhajlFRDNaN2MtTEgtUVJtSjdoa1JSeHU3cnhfMzBqM2MzeHBmLUtVZjBSOGhsQ25zRXVaY3ZPcW9fWnpBd0NDNnZ6M3lKQ2dtZ3pITlI4MFhUa0ZOeUhvdVJ3S2FnZ2E4a3VUSFNB?oc=5,,13000.0,0.375,0.6,positive,0.4,other,"The text discusses a potential change in leadership at Nintendo and how investors might react in the context of strong Switch 2 sales (likely speculation, as no Switch 2 is officially announced). While potentially impactful, the lack of concrete details and the speculative nature of the Switch 2 sales temper the likely stock movement. The leadership change aspect is a relevant, potentially market-moving factor if the leader is high-profile."
2025-09-26,Switch 2販売好調の中、任天堂（東証：7974）のリーダーシップ交代に投資家はどう反応するか - simplywall.st,https://news.google.com/rss/articles/CBMikAFBVV95cUxOeGdlWEJQRmRLV0NRWHFIZW5YbVZwSFFYSHFqNF9RcTlDS1lQQThkcmlWemphRHplc0JUWjhwREFrNEpaU3Q1TlAybEVUeTBEakF3RTBkSGk1ZG9nWkUxYndwd3FTcmtwWUJub0tFSmNCay00NVJOMG9idFZQc3FLc1hUY3NnTGRsSWhrLWdWMHPSAZYBQVVfeXFMTnBmdlF4a2U3R1A0UXJ0ZWdFdzNNRW0xeDNlWHlfTWR2eHBNNDY4dTdhajlFRDNaN2MtTEgtUVJtSjdoa1JSeHU3cnhfMzBqM2MzeHBmLUtVZjBSOGhsQ25zRXVaY3ZPcW9fWnpBd0NDNnZ6M3lKQ2dtZ3pITlI4MFhUa0ZOeUhvdVJ3S2FnZ2E4a3VUSFNB?oc=5,,13000.0,0.375,0.6,positive,0.4,other,"The text discusses a potential change in leadership at Nintendo and how investors might react in the context of strong Switch 2 sales (likely speculation, as no Switch 2 is officially announced). While potentially impactful, the lack of concrete details and the speculative nature of the Switch 2 sales temper the likely stock movement. The leadership change aspect is a relevant, potentially market-moving factor if the leader is high-profile."
2025-10-01,任天堂ゲーム 10月発売タイトルリスト - Nintendo DREAM WEB,https://news.google.com/rss/articles/CBMiWEFVX3lxTE8zd1ZMSmhfUVg2aVBVdGx1MWRFM3NZR0g2eG9GNEdrMjU0bjk4Y05VVVNnOW9IOFdiZHBvUURiZHlLQ09zcUpna0toLVVNRFdNRFhnQWNVQmU?oc=5,,13000.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-02,宇宙を駆けるマリオのふたつの冒険。Nintendo Switchソフト『スーパーマリオギャラクシー + スーパーマリオギャラクシー 2』は本日発売。 - Nintendo,https://news.google.com/rss/articles/CBMihgFBVV95cUxOQUZEMjZ5SllWbE91cGY4bEU4cGR3YjBBbXhUdC1OYm9sUFV0ZFVpZXp6RllEdW1qcF96dmZVTkN0SWRrOXhmMHIzRng0ZDN1ZVpBU2VpMmFwY1R3UW15ZHBkR1NsZzM1emFzbXFxVWJ0U2pwOG9uSlpzRzlaeDVqYzVhMDl2dw?oc=5,,12785.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-02,『Pokémon LEGENDS Z-A（ゼットエー）』の新たな映像を公開。新しく発見されたメガシンカポケモンも改めてご紹介。 - Nintendo,https://news.google.com/rss/articles/CBMihgFBVV95cUxQdEJJUjRGTWptYTU2YlI2Z2UyTml0eGtPaWxCUUxyemJzUkdEM1pZclBGWEhhUXBSX08zUWp3TUR4RTNFZmJqMnBaZ19HVDNibW5BMVZDVzAtZkx3cFhRdVVYT0Vqc09VQzl4TzJPOExlTFgzSGJpU09rcDQ1a2F0TzVNRHFfQQ?oc=5,,12785.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-03,ニンテンドーeショップ新作ソフト情報 10/3（金）号。 - Nintendo,https://news.google.com/rss/articles/CBMihgFBVV95cUxOTTlQeHk1NndBU3gtakJnbWZDU0JTY3lkSW1mMWlxclp3ckVfOGVfR0FjSUZuc3BNeVppVlg5dFpBOTUwbndzeGJlQVZmamtLa3VxWnQ3YW16Z0cwbHFDZXMwNXZsaGN0RUVqOHVrVkdVblFkWTlJVUdIUEFIM2V2RVZKT2NqQQ?oc=5,,12660.0,0.3125,0.25,positive,0.2,product,The text is about new software information on the Nintendo eShop. This could have a slight impact on stock if the software is highly anticipated or well-received.
2025-10-03,ジャケットの組成誤表記に関するお詫び - Nintendo,https://news.google.com/rss/articles/CBMidEFVX3lxTFBmbGlkcThHY3ZzYzUySnBzNWlQR0JzV3B0cnRVa0Izczd6REhjU29pTWxkZG1CRXR4U0VGS3hERXd1LWlBUlN2eHNkeUY4V0UxTDlNU2d5OFlxWkZmZDZqdElYQXlEMnB6S2xaSzNGMGMycDRx?oc=5,,12660.0,-0.375,0.4,negative,0.0,unknown,nan
2025-10-03,「Nintendo Live 2025 TOKYO」本日10月4日から2日間にわたり東京ビッグサイトにて開催 - GAME Watch,https://news.google.com/rss/articles/CBMiZkFVX3lxTE9fQ3NYUVdWdGF0VHBQX0ZaeEdBMHZWQl9kVEVwenU2OXJKbFl2QWNMTGE0UjFiY3RHZUpuVTZPamNwUy03dWg3bnJ3M0h4SjFKblc2RWdSTUF2Ynhqb1ZpcTE0bXVWZw?oc=5,,12660.0,0.0,0.5,neutral,0.0,unknown,nan
