tradedate,newstitle,closeprice,newslink,published_jst,newsdesc
2025-12-18,「買ってよかったブランドランキング2025」を発表します！Nintendo Switch 2、せいろなどnoteで話題になった商品も｜note公式 - note,10985.0,https://news.google.com/rss/articles/CBMiTkFVX3lxTE1zeDJGNGZyTXZjc1BVSzZJVGhsOF9fSEszdmVaWVNiM3ZSTkcwR1AwR2hnZ28wWVhQZkRGZDlVdmVicnhaQkFiTUVzVHRUdw?oc=5,2025-12-17 11:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,Nintendo Switch/Nintendo Switch 2版「The Rogue Prince of Persia」が本日発売、無料コンテンツアップデートの予告も - doope!,10985.0,https://news.google.com/rss/articles/CBMiS0FVX3lxTE5jU2l6MlFrR2NQSUNiNHd3LVJzUW5uSzRfOTIycHBlNnp2dTRxXzdqTFczSFpOc3Y2alZqcjAtdnoyWVB1d0ZqeG1CQQ?oc=5,2025-12-17 13:54:21+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,「Nintendo Switch 2 冬季同樂會」が2025年12月19日から台湾で開催決定！ - ninten-switch.com,10985.0,https://news.google.com/rss/articles/CBMifkFVX3lxTE5BWUpQUmNmVURYV3NEaFBvS25tc0gtWmJ0ckFEamlzaGtOa1dxbnNidFB4bWlHUEpUVUJEWk50eXpORkhRWThCTkRGcER3a1dRVS1QUkdsV1BuaGRhVGtyZ2tMOS1xM09WVHNLT2t6Z2t5QlNyR1ZuTU5ES1Eydw?oc=5,2025-12-17 17:45:17+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,【Switch2】プロコン（Proコントローラー）がAmazonに再入荷。単品モデルと専用ポーチ付きの2種類を展開【Nintendo Switch 2】 - ファミ通,10985.0,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5aVEZlVGtCTDF3QndLTHRqQzZuMUZWdElyY0UxZjc2YzF2NnZKSkNSZGNJSnlLenpyX3VQRzdUTkJocVQxWFZtb084X1VIb0h5aS05ZmVrOA?oc=5,2025-12-17 18:03:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,2026年3月12日、ヴァンパイア叙事詩RPG『Cabernet』がPS5・Nintendo Switchで日本リリース決定、選択が運命を分かつ物語体験で、あなただけのヴァンパイアサーガを完成させよ - PR TIMES,10985.0,https://news.google.com/rss/articles/CBMiakFVX3lxTE1yN0hWbkNmcmdOWlNUcS1rVEdRNDctTERDMGdzMVZhR0J1T0g5eW1mTnF3Skp4X1p0NDAxZklXQlcyWEg1VnpDbUItQUpHZ3hvVzZvVU1CSzVjWFBSaHFkY1d1azZrQkRBM0E?oc=5,2025-12-18 07:00:01+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,好評予約受付! Nintendo Switch 2『ギア・クラブ アンリミテッド３』 ゲームプレイトレーラー公開&デラックスエディションの内容も解禁! - ドリームニュース,10985.0,https://news.google.com/rss/articles/CBMiVEFVX3lxTE8xYjJqb1htelFVSU1wVmU0VWNWdGV6Q2JuQWNhUVhUcHVqdVpucTQ3aWFoQUVhbmNyMTZORjJpY2RkVDlPV1pYcnVRYk9ZQzJBQUxjSw?oc=5,2025-12-18 08:58:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,Nintendo Switch ソフト『サンリオキャラクターズ ミラクルマッチ マジカルおにごっこ』冬の大型アップデートのお知らせ - 北海道新聞デジタル,10985.0,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9Jd1dwOEIzWEY3NC1jLWRmTTdxclRuNGhuQTJSVVFobTluaFhjd0pibjN5WnE0T1VuN1FpVjhIajNnWjBBWDJtRmsxRjJKbzRZR0hfSVAtT0x1QQ?oc=5,2025-12-18 10:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,Nintendo Switch ソフト『サンリオキャラクターズ ミラクルマッチ マジカルおにごっこ』冬の大型アップデートのお知らせ - Digital PR Platform,10985.0,https://news.google.com/rss/articles/CBMiQ0FVX3lxTE8zYWxMc0dsdDhVUXJORF9nMWt3elh3ZXJIazdRMXNHNWI2V05sVHRfVjZsQjZiWnIzR1YzX3RLUEd5Mms?oc=5,2025-12-18 10:03:23+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,「Hello! インディー」スイカゲームの新作は、宇宙が舞台『スイカゲーム ぷらねっと』 - nintendo.com,10985.0,https://news.google.com/rss/articles/CBMihgFBVV95cUxORlJmREtlZXlKTjJ0bGZaUHR3ZW1aTFdTYmRMcUVXZy1PdF9STzBqa3gxV3ZMY3ZHc1ZQNTN6VzVmZ2YwNlA4RF9wV0NzcUNQYUpQR1Atakt6XzRiaVJETkJPSFg0RXBvdGgza29kZzBkMW9wa1NyS21sRXBYMGt4Z1JoaU5tQQ?oc=5,2025-12-18 10:16:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,完全新作シューティング『バウンティシスターズ』Nintendo Switch版本日発売！ - ValuePress!,10985.0,https://news.google.com/rss/articles/CBMiW0FVX3lxTE90UVJGb1Z6bWc3cXN6cW0tcDBfNXFrUFgtYWlHZ2VQdHJxUTMxVkw5S3JrVFFfRzgzRGVxN2ZBVFQ5azBkallpSHdxSHhSRzZKQV9kSDNEUG1HYTQ?oc=5,2025-12-18 11:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,Nintendo Switch™用ソフト『虧月の夜』 本日ダウンロード版の予約受付を開始！ - PR TIMES,10985.0,https://news.google.com/rss/articles/CBMiakFVX3lxTE9hbl9VV2dlclptOHN4dWNQZHBWaFI3S0lqeXJ2NjZMZDdRYTIzcFRQeUNQVWt4TDBzUWJNOFVNbm5WME80UVBDTFFQQnJ3SE9VRjlKT0wyVGU4RjNYX19SWU05X3A0Z2tMNHc?oc=5,2025-12-18 12:00:03+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-12-18,ダークファンタジー×サスペンス乙女ゲーム『魔女と亡霊のヴォロンテ』Nintendo Switchパッケージ版が、2026年3月26日(木)に発売決定！本日12月18日(木)より予約受付スタート！ | 株式会社ジー・モードのプレスリリース - PR TIMES,10985.0,https://news.google.com/rss/articles/CBMiakFVX3lxTE9mQ3hJRkQ2T0NvWGl3M1JxNnV0SVFLeVg5TFJjQVZ6YWdOd2FtQUFXNUVpOVdUZ3dhZVl4VjUtWXVkdFB0M28xSG1TcGF4ZVVnUUs3blY2NUhXZlFuSEliZF8tT3B1VVhXS1E?oc=5,2025-12-18 12:00:03+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
