tradedate,newstitle,closeprice,newslink,published_jst,newsdesc
2025-11-07,デザインは経営ツールだ ソニーグループ - 日経ビジネス電子版,4259.0,https://news.google.com/rss/articles/CBMiZEFVX3lxTE83OGtXTUtEeVhpZmpkVlJ0Qk5iWVBhU0FDU0JzNFNrU0hTVHlOSDdWYlVRX3dDSjRnVzNSMFdBcUt1czhsb2dQa0lhelNZejN5TWN3SXdSN1JKU1NKeTN1ZG5KQjI?oc=5,2025-11-07 00:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,ソニー「α7V」は12月上旬に発表、クリスマス前に発売？ - デジカメinfo,4259.0,https://news.google.com/rss/articles/CBMiVkFVX3lxTE41QXpVa2VybVVfS2FuRG5uRnBMc0RBc01aYThaUUJXSjR6bmZMSjhLbmppb1EyNmVMNmNSSWYwSk5mSVdoTjJYdFhfVFpDOFgxUFRmVGxR?oc=5,2025-11-07 00:11:55+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,ソニーα7 V は12月上旬に正式発表となる？ - とるなら 写真道楽道中記,4259.0,https://news.google.com/rss/articles/CBMikAFBVV95cUxPX2dVTkw3WHVWMTJGb1ViVmhzcTdqS1d0ZjFSWW02MU15YjZCeEtZZkZSMGMwU2RTZFg1eWpyVmFjZDFlMTVqbmJGVFVZMTIySk8zd05CYUJjRHRLZ1R3clMzSy00OEwzdnZtcG1DcnFRNDVZNlc4SzNxWkREMnZLNlY3UlhtLVdhdnlDa3RsYjc?oc=5,2025-11-07 00:23:44+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,ソニー、純損失4567億円からの復活の立役者 顧客視点で改革断行 - 日経ビジネス電子版,4259.0,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5USERGejNlMjFHOXBJd1NtZW9kR1FkYm9jYkV4SjJ2elN5V3Q3d1VLUlNBYTdLQ3JnQ2t6VUlqRW5MWWtTQ2xCdUdXYmxrWGtBaE51RGlfaHAzdDktNkl6OGZxWDdBSjQ?oc=5,2025-11-07 05:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,［新連載］ソニーのEV、始まりはデザイナーが勝手に描いたスケッチだった - 日経ビジネス電子版,4259.0,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5iYm5weUNfVmxKbUxXTl9VVlFSM3JWakRud2dIM3Y2QWdXa1pXQkxJNDNaZUY0OWVteGwzU2hyLVlKbEdfelAyczR4R2lqX3BnMDZCUGRNLWVjMzRJcDZhRU83Rk95Vzg?oc=5,2025-11-07 05:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,ソニーEVの始まり／ネクスペリアショック／サイバー攻撃、バックアップ狙う（2025年11月7日版） - 日経ビジネス電子版,4259.0,https://news.google.com/rss/articles/CBMiakFVX3lxTE94Z2hRNXdlTXlTZDFYY240SUYwS1BuTXd0SGNpT2hXOXpGVkhDNlRHelpDVjV1Z0Q1aWRFSmZvS2lLdnVxNEZDZFF4QWFMUUN3eWRieTdyTm9QRHktcVc1Qy0zVGs0SVh4Znc?oc=5,2025-11-07 05:00:03+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,「『あの時は悪かった』と言わせてみせる」世界のソニーにTOKYO FM前身のド新人が啖呵を切ってのし上がるまで - Yahoo!ニュース,4259.0,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNLU5yMlZYY1NEaGpyOG9ya05udXo3UWM2dWl2X2RhbmJXMFY3SlBseVpJaEpZS3FtZ0ZwTnNHeDl0d29IREMyV0o5WTM0QV9sTTBRTE40OHVCZmxDTTJOeWt2Yy1Ocmc4ZzVOV1ZYUUE1S1BGNW9aY2t6OHlyTE9MbzhIUktidkJ1?oc=5,2025-11-07 11:15:41+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,ソニー銀行株式会社 様 - Fujitsu Global,4259.0,https://news.google.com/rss/articles/CBMif0FVX3lxTE5iUzMxSFB3WEk0cjk2cHYwRjV6NTQ0bzJGNUk0Y0NxNThlY3dQT2hTdWk1SEYyNTlMRFFRMG5QSjAtSXNlS3MtT0I4RFlfdXdKbkszSXdCQ3dteXRFQzBiZEh6NWxockNhcG0xYVBUbmlZM3lTTVdUWHRuTXBGZ28?oc=5,2025-11-07 11:23:23+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,インハウスデザイナーの力で課題解決を目指す「IN-HOUSE→SOCIAL DESIGN UNIT」にソニーが参画 - japandesign.ne.jp,4259.0,https://news.google.com/rss/articles/CBMiXkFVX3lxTE9yV19KZXM0R19WZWZBaHo3Vzk3OHNjV0Itc3EwN2Via3Y1MmxQMnlvUHdyMWlBcmVQQml4ZmY5clZ4SHpNYWx3eGZQZkxFUFFveUZNUnNsZkJFSHQ3R2c?oc=5,2025-11-07 12:00:00+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,ソニー2025年度第2四半期 業績説明会を11月11日(火)16時開催。PS5累計販売台数などの情報を公開。 - ソニーが基本的に好き。,4259.0,https://news.google.com/rss/articles/CBMiR0FVX3lxTE5ITlo0YVdOdjB0UHR5bW5fRmd0TDdxanE4YVNhYnBOX1hqUVVFb19Fd0t0MGlsLWRLdjRQdF83WkpMeHZwUG9J?oc=5,2025-11-07 14:03:47+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,IIJとソニーセミコンがスマート農業の合弁会社を設立へ、IoTで効率的な農地管理を目指す - ケータイ Watch,4259.0,https://news.google.com/rss/articles/CBMiZ0FVX3lxTFBlSVJFdlNzQ25tTkhIOTNaWEFoMWZwc3JSY09paTJRQ1NYN1M5UXFkdjg5SzhPU1ZhdHV0TXdpS3JqTFlkVEIzUEVtTVV2X1F2LWFCWE1rb0RPbkdiWm44UjFzQ3p1ZFU?oc=5,2025-11-07 14:54:13+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,Thypoch、大口径単焦点レンズ「Simera」シリーズにキヤノンRF/ソニーE/ニコンZ - デジカメ Watch,4259.0,https://news.google.com/rss/articles/CBMiY0FVX3lxTE42S0hNUE9KQTBYcEowVVU2X0NJNEcxTkVtaW0tcTF4c3NDbWZESmdPaTdOanJ3R1Z6aVRvM0ZQOGF1aXU1Y1VtU3Z2c1FQWG5YMXo1cFJsZUE4RTFNRnZXMnN6cw?oc=5,2025-11-07 14:58:48+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,「IDOLIC」がソニー「Xperia 10 VII」Web CM CMソングに決定！ | 中島健人 | ソニーミュージックオフィシャルサイト - ソニーミュージックオフィシャルサイト,4259.0,https://news.google.com/rss/articles/CBMifkFVX3lxTE11Q3JYcGxLTzhxam43U1RSM09wcGVpcng0Yy1qSWZWSFRMSDlmUzVnYmZZZGtBOGVjWXc3dG9CNkNSdFZJYTRFeGtjQl9ybndBTGw3dG5NLXNOaWoxS21OdHFmYmJQMHZYLUFnd0ZiN2ZzNzZQcGFBcWh1ZEdKZw?oc=5,2025-11-07 15:06:38+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,「IDOLIC」がソニー「Xperia 10 VII」Web CM CMソングに決定！ | 中島健人 | ソニーミュージックオフィシャルサイト - ソニーミュージックオフィシャルサイト,4259.0,https://news.google.com/rss/articles/CBMibEFVX3lxTFA4SERyYXdRZEFaeXlNS3BpTUgyX1dkUVhpdmIyMEVqQzltZkxCTks4QnMzai1lN1hLdUhIdEpGUE1NWVBKMmtoY1ltampyRmF1QmoxRm5iOUQ4YXg0UlJRZGotQXBxWXZGbjM4dA?oc=5,2025-11-07 15:06:38+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,"「ソニーコーポレートブログ」更新のご案内 ""特性""を戦力に、働く領域を広げる。ソニー希望・光の挑戦とは - Sony",4259.0,https://news.google.com/rss/articles/CBMickFVX3lxTFA5UWN4QUJ6aEpaOWxBcEpRc0dfTVdQVkdzVVJhLXlYR24tSVN3SFZWc1FGaGh4LVhfRmxheGQ5NWRMYVJxM09EYUdLNDQzcWlOLUVHZWI4eE5tTmpQZjhCUTgwbzJUd0Zpa2pHMUlManpIZw?oc=5,2025-11-07 15:13:23+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,"""特性""を戦力に、働く領域を広げる。ソニー希望・光の挑戦とは - Sony",4259.0,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBCem5BTC05bTFLUExxclZhTWhIb2lyRHpZWm9KajBXRHFNWXZqWmhBRndNNTdWV015UVZCNmJ6WDRYRS1tb0NrVzBodWlGZ0pjSjVtX2hzNHdNcnI0c0E?oc=5,2025-11-07 15:15:27+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
2025-11-07,中島健人「IDOLIC」CMソング × ソニー 「Xperia 10 VII」Web CM “Xperia 10ティー”公開。 - ソニーが基本的に好き。,4259.0,https://news.google.com/rss/articles/CBMiTkFVX3lxTE9UcUZfREV5ZVR2WUZJME1TNE5fWWhNanZlTzloeXJaMnZnTExNSkRwZnl1UDgxNjU5X09YMC1FY2MxMmFoamlKZXQxQW1Udw?oc=5,2025-11-07 15:18:33+0900,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
